,codes,airports,cities,countries,airports - cities
293,CYLD,Chapleau Airport,Chapleau,CA,Chapleau Airport - Chapleau
294,CYLH,Lansdowne House Airport,Lansdowne House,CA,Lansdowne House Airport - Lansdowne House
295,CYLJ,Meadow Lake Airport,Meadow Lake,CA,Meadow Lake Airport - Meadow Lake
296,CYLK,Lutselk'e Airport,Lutselk'e,CA,Lutselk'e Airport - Lutselk'e
297,CYLL,Lloydminster Airport,Lloydminster,CA,Lloydminster Airport - Lloydminster
298,CYLR,Leaf Rapids Airport,Leaf Rapids,CA,Leaf Rapids Airport - Leaf Rapids
299,CYLT,Alert Airport,Alert,CA,Alert Airport - Alert
300,CYLU,Kangiqsualujjuaq (Georges River) Airport,Kangiqsualujjuaq,CA,Kangiqsualujjuaq (Georges River) Airport - Kangiqsualujjuaq
301,CYLW,Kelowna International Airport,Kelowna,CA,Kelowna International Airport - Kelowna
302,CYMA,Mayo Airport,Mayo,CA,Mayo Airport - Mayo
303,CYME,Matane Airport,Matane,CA,Matane Airport - Matane
304,CYMG,Manitouwadge Airport,Manitouwadge,CA,Manitouwadge Airport - Manitouwadge
305,CYMH,Mary's Harbour Airport,Mary's Harbour,CA,Mary's Harbour Airport - Mary's Harbour
306,CYMJ,Moose Jaw Air Vice Marshal C. M. McEwen Airport,Moose Jaw,CA,Moose Jaw Air Vice Marshal C. M. McEwen Airport - Moose Jaw
307,CYML,Charlevoix Airport,Charlevoix,CA,Charlevoix Airport - Charlevoix
308,CYMM,Fort McMurray Airport,Fort McMurray,CA,Fort McMurray Airport - Fort McMurray
309,CYMO,Moosonee Airport,Moosonee,CA,Moosonee Airport - Moosonee
310,CYMT,Chapais Airport,Chibougamau,CA,Chapais Airport - Chibougamau
311,CYMU,Umiujaq Airport,Umiujaq,CA,Umiujaq Airport - Umiujaq
312,CYMX,Montreal International (Mirabel) Airport,Montréal,CA,Montreal International (Mirabel) Airport - Montréal
313,CYNA,Natashquan Airport,Natashquan,CA,Natashquan Airport - Natashquan
314,CYNC,Wemindji Airport,Wemindji,CA,Wemindji Airport - Wemindji
315,CYND,Ottawa / Gatineau Airport,Gatineau,CA,Ottawa / Gatineau Airport - Gatineau
316,CYNE,Norway House Airport,Norway House,CA,Norway House Airport - Norway House
317,CYNL,Points North Landing Airport,Points North Landing,CA,Points North Landing Airport - Points North Landing
318,CYNM,Matagami Airport,Matagami,CA,Matagami Airport - Matagami
319,CYNN,Nejanilini Lake Airport,Nejanilini Lake,CA,Nejanilini Lake Airport - Nejanilini Lake
320,CYOA,Ekati Airport,Ekati,CA,Ekati Airport - Ekati
321,CYOC,Old Crow Airport,Old Crow,CA,Old Crow Airport - Old Crow
322,CYOD,CFB Cold Lake,Cold Lake,CA,CFB Cold Lake - Cold Lake
323,CYOH,Oxford House Airport,Oxford House,CA,Oxford House Airport - Oxford House
324,CYOJ,High Level Airport,High Level,CA,High Level Airport - High Level
325,CYOO,Oshawa Executive Airport,Oshawa,CA,Oshawa Executive Airport - Oshawa
326,CYOP,Rainbow Lake Airport,Rainbow Lake,CA,Rainbow Lake Airport - Rainbow Lake
327,CYOS,Owen Sound / Billy Bishop Regional Airport,Owen Sound,CA,Owen Sound / Billy Bishop Regional Airport - Owen Sound
328,CYOW,Ottawa Macdonald-Cartier International Airport,Ottawa,CA,Ottawa Macdonald-Cartier International Airport - Ottawa
329,CYPA,Prince Albert Glass Field,Prince Albert,CA,Prince Albert Glass Field - Prince Albert
330,CYPC,Paulatuk (Nora Aliqatchialuk Ruben) Airport,Paulatuk,CA,Paulatuk (Nora Aliqatchialuk Ruben) Airport - Paulatuk
331,CYPD,Port Hawkesbury Airport,Port Hawkesbury,CA,Port Hawkesbury Airport - Port Hawkesbury
332,CYPE,Peace River Airport,Peace River,CA,Peace River Airport - Peace River
333,CYPG,Portage-la-Prairie / Southport Airport,Portage la Prairie,CA,Portage-la-Prairie / Southport Airport - Portage la Prairie
334,CYPH,Inukjuak Airport,Inukjuak,CA,Inukjuak Airport - Inukjuak
335,CYPL,Pickle Lake Airport,Pickle Lake,CA,Pickle Lake Airport - Pickle Lake
336,CYPM,Pikangikum Airport,Pikangikum,CA,Pikangikum Airport - Pikangikum
337,CYPN,Port Menier Airport,Port-Menier,CA,Port Menier Airport - Port-Menier
338,CYPO,Peawanuck Airport,Peawanuck,CA,Peawanuck Airport - Peawanuck
339,CYPQ,Peterborough Municipal Airport,Peterborough,CA,Peterborough Municipal Airport - Peterborough
340,CYPR,Prince Rupert Airport,Prince Rupert,CA,Prince Rupert Airport - Prince Rupert
341,CYPW,Powell River Airport,Powell River,CA,Powell River Airport - Powell River
342,CYPX,Puvirnituq Airport,Puvirnituq,CA,Puvirnituq Airport - Puvirnituq
343,CYPY,Fort Chipewyan Airport,Fort Chipewyan,CA,Fort Chipewyan Airport - Fort Chipewyan
344,CYQA,Muskoka Airport,Muskoka,CA,Muskoka Airport - Muskoka
345,CYQB,Quebec Jean Lesage International Airport,Quebec,CA,Quebec Jean Lesage International Airport - Quebec
346,CYQD,The Pas Airport,The Pas,CA,The Pas Airport - The Pas
347,CYQF,Red Deer Regional Airport,Springbrook,CA,Red Deer Regional Airport - Springbrook
348,CYQG,Windsor Airport,Windsor,CA,Windsor Airport - Windsor
349,CYQH,Watson Lake Airport,Watson Lake,CA,Watson Lake Airport - Watson Lake
350,CYQI,Yarmouth Airport,Yarmouth,CA,Yarmouth Airport - Yarmouth
351,CYQK,Kenora Airport,Kenora,CA,Kenora Airport - Kenora
352,CYQL,Lethbridge County Airport,Lethbridge,CA,Lethbridge County Airport - Lethbridge
353,CYQM,Greater Moncton Roméo LeBlanc International Airport,Moncton,CA,Greater Moncton Roméo LeBlanc International Airport - Moncton
354,CYQN,Nakina Airport,Nakina,CA,Nakina Airport - Nakina
355,CYQQ,Comox Valley Airport / CFB Comox,Comox,CA,Comox Valley Airport / CFB Comox - Comox
356,CYQR,Regina International Airport,Regina,CA,Regina International Airport - Regina
357,CYQS,St Thomas Municipal Airport,St Thomas,CA,St Thomas Municipal Airport - St Thomas
358,CYQT,Thunder Bay Airport,Thunder Bay,CA,Thunder Bay Airport - Thunder Bay
359,CYQU,Grande Prairie Airport,Grande Prairie,CA,Grande Prairie Airport - Grande Prairie
360,CYQV,Yorkton Municipal Airport,Yorkton,CA,Yorkton Municipal Airport - Yorkton
361,CYQW,North Battleford Airport,North Battleford,CA,North Battleford Airport - North Battleford
362,CYQX,Gander International Airport,Gander,CA,Gander International Airport - Gander
363,CYQY,Sydney / J.A. Douglas McCurdy Airport,Sydney,CA,Sydney / J.A. Douglas McCurdy Airport - Sydney
364,CYQZ,Quesnel Airport,Quesnel,CA,Quesnel Airport - Quesnel
365,CYRA,Rae Lakes Airport,Gamètì,CA,Rae Lakes Airport - Gamètì
366,CYRB,Resolute Bay Airport,Resolute Bay,CA,Resolute Bay Airport - Resolute Bay
367,CYRI,Rivière-du-Loup Airport,Rivière-du-Loup,CA,Rivière-du-Loup Airport - Rivière-du-Loup
368,CYRJ,Roberval Airport,Roberval,CA,Roberval Airport - Roberval
369,CYRL,Red Lake Airport,Red Lake,CA,Red Lake Airport - Red Lake
370,CYRO,Ottawa / Rockcliffe Airport,Ottawa,CA,Ottawa / Rockcliffe Airport - Ottawa
371,CYRP,Ottawa / Carp Airport,Ottawa,CA,Ottawa / Carp Airport - Ottawa
372,CYRQ,Trois-Rivières Airport,Trois-Rivières,CA,Trois-Rivières Airport - Trois-Rivières
373,CYRS,Red Sucker Lake Airport,Red Sucker Lake,CA,Red Sucker Lake Airport - Red Sucker Lake
374,CYRT,Rankin Inlet Airport,Rankin Inlet,CA,Rankin Inlet Airport - Rankin Inlet
375,CYRV,Revelstoke Airport,Revelstoke,CA,Revelstoke Airport - Revelstoke
376,CYSB,Sudbury Airport,Sudbury,CA,Sudbury Airport - Sudbury
377,CYSC,Sherbrooke Airport,Sherbrooke,CA,Sherbrooke Airport - Sherbrooke
378,CYSF,Stony Rapids Airport,Stony Rapids,CA,Stony Rapids Airport - Stony Rapids
379,CYSG,St Georges Airport,St Georges,CA,St Georges Airport - St Georges
380,CYSH,Smiths Falls-Montague (Russ Beach) Airport,Smiths Falls,CA,Smiths Falls-Montague (Russ Beach) Airport - Smiths Falls
381,CYSJ,Saint John Airport,Saint John,CA,Saint John Airport - Saint John
382,CYSK,Sanikiluaq Airport,Sanikiluaq,CA,Sanikiluaq Airport - Sanikiluaq
383,CYSL,St Leonard Airport,St Leonard,CA,St Leonard Airport - St Leonard
384,CYSM,Fort Smith Airport,Fort Smith,CA,Fort Smith Airport - Fort Smith
385,CYSN,Niagara District Airport,St Catharines,CA,Niagara District Airport - St Catharines
386,CYSP,Marathon Airport,Marathon,CA,Marathon Airport - Marathon
387,CYST,St. Theresa Point Airport,St. Theresa Point,CA,St. Theresa Point Airport - St. Theresa Point
388,CYSU,Summerside Airport,Slemon Park,CA,Summerside Airport - Slemon Park
389,CYSY,Sachs Harbour (David Nasogaluak Jr. Saaryuaq) Airport,Sachs Harbour,CA,Sachs Harbour (David Nasogaluak Jr. Saaryuaq) Airport - Sachs Harbour
390,CYTA,Pembroke Airport,Pembroke,CA,Pembroke Airport - Pembroke
391,CYTE,Cape Dorset Airport,Kinngait,CA,Cape Dorset Airport - Kinngait
392,CYTF,Alma Airport,Alma,CA,Alma Airport - Alma
393,CYTH,Thompson Airport,Thompson,CA,Thompson Airport - Thompson
394,CYTL,Big Trout Lake Airport,Big Trout Lake,CA,Big Trout Lake Airport - Big Trout Lake
395,CYTQ,Tasiujaq Airport,Tasiujaq,CA,Tasiujaq Airport - Tasiujaq
396,CYTR,CFB Trenton,Trenton,CA,CFB Trenton - Trenton
397,CYTS,Timmins/Victor M. Power,Timmins,CA,Timmins/Victor M. Power - Timmins
398,CYTZ,Billy Bishop Toronto City Centre Airport,Toronto,CA,Billy Bishop Toronto City Centre Airport - Toronto
399,CYUB,Tuktoyaktuk / James Gruben Airport,Tuktoyaktuk,CA,Tuktoyaktuk / James Gruben Airport - Tuktoyaktuk
400,CYUL,Montreal / Pierre Elliott Trudeau International Airport,Montréal,CA,Montreal / Pierre Elliott Trudeau International Airport - Montréal
401,CYUT,Naujaat Airport,Repulse Bay,CA,Naujaat Airport - Repulse Bay
402,CYUX,Hall Beach Airport,Sanirajak,CA,Hall Beach Airport - Sanirajak
403,CYUY,Rouyn Noranda Airport,Rouyn-Noranda,CA,Rouyn Noranda Airport - Rouyn-Noranda
404,CYVB,Bonaventure Airport,Bonaventure,CA,Bonaventure Airport - Bonaventure
405,CYVC,La Ronge Airport,La Ronge,CA,La Ronge Airport - La Ronge
406,CYVD,Virden / RJ (Bob) Andrew Field Regional Aerodrome,Virden,CA,Virden / RJ (Bob) Andrew Field Regional Aerodrome - Virden
407,CYVK,Vernon Airport,Vernon,CA,Vernon Airport - Vernon
408,CYVM,Qikiqtarjuaq Airport,Qikiqtarjuaq,CA,Qikiqtarjuaq Airport - Qikiqtarjuaq
409,CYVO,Val-d'Or Airport,Val-d'Or,CA,Val-d'Or Airport - Val-d'Or
410,CYVP,Kuujjuaq Airport,Kuujjuaq,CA,Kuujjuaq Airport - Kuujjuaq
411,CYVQ,Norman Wells Airport,Norman Wells,CA,Norman Wells Airport - Norman Wells
412,CYVR,Vancouver International Airport,Vancouver,CA,Vancouver International Airport - Vancouver
413,CYVV,Wiarton Airport,Wiarton,CA,Wiarton Airport - Wiarton
414,CYVZ,Deer Lake Airport,Deer Lake,CA,Deer Lake Airport - Deer Lake
415,CYWA,Petawawa Airport,Petawawa,CA,Petawawa Airport - Petawawa
416,CYWG,Winnipeg / James Armstrong Richardson International Airport,Winnipeg,CA,Winnipeg / James Armstrong Richardson International Airport - Winnipeg
417,CYWJ,Déline Airport,Déline,CA,Déline Airport - Déline
418,CYWK,Wabush Airport,Wabush,CA,Wabush Airport - Wabush
419,CYWL,Williams Lake Airport,Williams Lake,CA,Williams Lake Airport - Williams Lake
420,CYWP,Webequie Airport,Webequie,CA,Webequie Airport - Webequie
421,CYWY,Wrigley Airport,Wrigley,CA,Wrigley Airport - Wrigley
422,CYXC,Cranbrook/Canadian Rockies International Airport,Cranbrook,CA,Cranbrook/Canadian Rockies International Airport - Cranbrook
423,CYXE,Saskatoon John G. Diefenbaker International Airport,Saskatoon,CA,Saskatoon John G. Diefenbaker International Airport - Saskatoon
424,CYXH,Medicine Hat Regional Airport,Medicine Hat,CA,Medicine Hat Regional Airport - Medicine Hat
425,CYXJ,Fort St John Airport,Fort St.John,CA,Fort St John Airport - Fort St.John
426,CYXK,Rimouski Airport,Rimouski,CA,Rimouski Airport - Rimouski
427,CYXL,Sioux Lookout Airport,Sioux Lookout,CA,Sioux Lookout Airport - Sioux Lookout
428,CYXN,Whale Cove Airport,Whale Cove,CA,Whale Cove Airport - Whale Cove
429,CYXP,Pangnirtung Airport,Pangnirtung,CA,Pangnirtung Airport - Pangnirtung
430,CYXQ,Beaver Creek Airport,Beaver Creek,CA,Beaver Creek Airport - Beaver Creek
431,CYXR,Earlton (Timiskaming Regional) Airport,Earlton,CA,Earlton (Timiskaming Regional) Airport - Earlton
432,CYXS,Prince George Airport,Prince George,CA,Prince George Airport - Prince George
433,CYXT,Northwest Regional Airport Terrace-Kitimat,Terrace,CA,Northwest Regional Airport Terrace-Kitimat - Terrace
434,CYXU,London Airport,London,CA,London Airport - London
435,CYXX,Abbotsford International Airport,Abbotsford,CA,Abbotsford International Airport - Abbotsford
436,CYXY,Whitehorse / Erik Nielsen International Airport,Whitehorse,CA,Whitehorse / Erik Nielsen International Airport - Whitehorse
437,CYXZ,Wawa Airport,Wawa,CA,Wawa Airport - Wawa
438,CYYB,North Bay Jack Garland Airport,North Bay,CA,North Bay Jack Garland Airport - North Bay
439,CYYC,Calgary International Airport,Calgary,CA,Calgary International Airport - Calgary
440,CYYD,Smithers Airport,Smithers,CA,Smithers Airport - Smithers
441,CYYE,Fort Nelson Airport,Fort Nelson,CA,Fort Nelson Airport - Fort Nelson
442,CYYF,Penticton Airport,Penticton,CA,Penticton Airport - Penticton
443,CYYG,Charlottetown Airport,Charlottetown,CA,Charlottetown Airport - Charlottetown
444,CYYH,Taloyoak Airport,Taloyoak,CA,Taloyoak Airport - Taloyoak
445,CYYJ,Victoria International Airport,Victoria,CA,Victoria International Airport - Victoria
446,CYYL,Lynn Lake Airport,Lynn Lake,CA,Lynn Lake Airport - Lynn Lake
447,CYYN,Swift Current Airport,Swift Current,CA,Swift Current Airport - Swift Current
448,CYYQ,Churchill Airport,Churchill,CA,Churchill Airport - Churchill
449,CYYR,Goose Bay Airport,Goose Bay,CA,Goose Bay Airport - Goose Bay
450,CYYT,St. John's International Airport,St. John's,CA,St. John's International Airport - St. John's
451,CYYU,Kapuskasing Airport,Kapuskasing,CA,Kapuskasing Airport - Kapuskasing
452,CYYW,Armstrong Airport,Armstrong,CA,Armstrong Airport - Armstrong
453,CYYY,Mont Joli Airport,Mont-Joli,CA,Mont Joli Airport - Mont-Joli
454,CYYZ,Lester B. Pearson International Airport,Toronto,CA,Lester B. Pearson International Airport - Toronto
455,CYZD,Downsview Airport,Toronto,CA,Downsview Airport - Toronto
456,CYZE,Gore Bay Manitoulin Airport,Gore Bay,CA,Gore Bay Manitoulin Airport - Gore Bay
457,CYZF,Yellowknife International Airport,Yellowknife,CA,Yellowknife International Airport - Yellowknife
458,CYZG,Salluit Airport,Salluit,CA,Salluit Airport - Salluit
459,CYZH,Slave Lake Airport,Slave Lake,CA,Slave Lake Airport - Slave Lake
460,CYZP,Sandspit Airport,Sandspit,CA,Sandspit Airport - Sandspit
461,CYZR,Chris Hadfield Airport,Sarnia,CA,Chris Hadfield Airport - Sarnia
462,CYZS,Coral Harbour Airport,Coral Harbour,CA,Coral Harbour Airport - Coral Harbour
463,CYZT,Port Hardy Airport,Port Hardy,CA,Port Hardy Airport - Port Hardy
464,CYZU,Whitecourt Airport,Whitecourt,CA,Whitecourt Airport - Whitecourt
465,CYZV,Sept-Îles Airport,Sept-Îles,CA,Sept-Îles Airport - Sept-Îles
466,CYZW,Teslin Airport,Teslin,CA,Teslin Airport - Teslin
467,CYZX,CFB Greenwood,Greenwood,CA,CFB Greenwood - Greenwood
468,CYZY,Mackenzie Airport,Mackenzie,CA,Mackenzie Airport - Mackenzie
469,CZAC,York Landing Airport,York Landing,CA,York Landing Airport - York Landing
470,CZAM,Shuswap Regional Airport,Salmon Arm,CA,Shuswap Regional Airport - Salmon Arm
471,CZBB,Boundary Bay Airport,Vancouver,CA,Boundary Bay Airport - Vancouver
472,CZBD,Ilford Airport,Ilford,CA,Ilford Airport - Ilford
473,CZBF,Bathurst Airport,Bathurst,CA,Bathurst Airport - Bathurst
474,CZBM,Bromont (Roland Désourdy) Airport,Bromont,CA,Bromont (Roland Désourdy) Airport - Bromont
475,CZEE,Kelsey Airport,Kelsey,CA,Kelsey Airport - Kelsey
476,CZEM,Eastmain River Airport,Eastmain River,CA,Eastmain River Airport - Eastmain River
477,CZFA,Faro Airport,Faro,CA,Faro Airport - Faro
478,CZFD,Fond-Du-Lac Airport,Fond-Du-Lac,CA,Fond-Du-Lac Airport - Fond-Du-Lac
479,CZFG,Pukatawagan Airport,Pukatawagan,CA,Pukatawagan Airport - Pukatawagan
480,CZFM,Fort Mcpherson Airport,Fort Mcpherson,CA,Fort Mcpherson Airport - Fort Mcpherson
481,CZFN,Tulita Airport,Tulita,CA,Tulita Airport - Tulita
482,CZGF,Grand Forks Airport,Grand Forks,CA,Grand Forks Airport - Grand Forks
483,CZGI,Gods River Airport,Gods River,CA,Gods River Airport - Gods River
484,CZGR,Little Grand Rapids Airport,Little Grand Rapids,CA,Little Grand Rapids Airport - Little Grand Rapids
485,CZJG,Jenpeg Airport,Jenpeg,CA,Jenpeg Airport - Jenpeg
486,CZJN,Swan River Airport,Swan River,CA,Swan River Airport - Swan River
487,CZKE,Kashechewan Airport,Kashechewan,CA,Kashechewan Airport - Kashechewan
488,CZLQ,Thicket Portage Airport,Thicket Portage,CA,Thicket Portage Airport - Thicket Portage
489,CZMD,Muskrat Dam Airport,Muskrat Dam,CA,Muskrat Dam Airport - Muskrat Dam
490,CZMN,Pikwitonei Airport,Pikwitonei,CA,Pikwitonei Airport - Pikwitonei
491,CZMT,Masset Airport,Masset,CA,Masset Airport - Masset
492,CZNG,Poplar River Airport,Poplar River,CA,Poplar River Airport - Poplar River
493,CZPB,Sachigo Lake Airport,Sachigo Lake,CA,Sachigo Lake Airport - Sachigo Lake
494,CZPC,Pincher Creek Airport,Pincher Creek,CA,Pincher Creek Airport - Pincher Creek
495,CZRJ,Round Lake (Weagamow Lake) Airport,Round Lake,CA,Round Lake (Weagamow Lake) Airport - Round Lake
496,CZSJ,Sandy Lake Airport,Sandy Lake,CA,Sandy Lake Airport - Sandy Lake
497,CZSN,South Indian Lake Airport,South Indian Lake,CA,South Indian Lake Airport - South Indian Lake
498,CZST,Stewart Airport,Stewart,CA,Stewart Airport - Stewart
499,CZTM,Shamattawa Airport,Shamattawa,CA,Shamattawa Airport - Shamattawa
500,CZUC,Ignace Municipal Airport,Ignace,CA,Ignace Municipal Airport - Ignace
501,CZWH,Lac Brochet Airport,Lac Brochet,CA,Lac Brochet Airport - Lac Brochet
502,CZWL,Wollaston Lake Airport,Wollaston Lake,CA,Wollaston Lake Airport - Wollaston Lake
503,DAAB,Blida Airport,Blida,DZ,Blida Airport - Blida
504,DAAD,Bou Saada Airport,Ouled Sidi Brahim,DZ,Bou Saada Airport - Ouled Sidi Brahim
505,DAAE,Soummam – Abane Ramdane Airport,Béjaïa,DZ,Soummam – Abane Ramdane Airport - Béjaïa
506,DAAG,Houari Boumediene Airport,Algiers,DZ,Houari Boumediene Airport - Algiers
507,DAAJ,Djanet Inedbirene Airport,Djanet,DZ,Djanet Inedbirene Airport - Djanet
508,DAAK,Boufarik Airport,Guerrouaou,DZ,Boufarik Airport - Guerrouaou
509,DAAP,Illizi Takhamalt Airport,Illizi,DZ,Illizi Takhamalt Airport - Illizi
510,DAAS,Ain Arnat Airport,Sétif,DZ,Ain Arnat Airport - Sétif
511,DAAT,Aguenar – Hadj Bey Akhamok Airport,Tamanrasset,DZ,Aguenar – Hadj Bey Akhamok Airport - Tamanrasset
512,DAAV,Jijel Ferhat Abbas Airport,Jijel,DZ,Jijel Ferhat Abbas Airport - Jijel
513,DAAY,Mecheria Airport,Mecheria,DZ,Mecheria Airport - Mecheria
514,DAAZ,Relizane Airport,Relizane,DZ,Relizane Airport - Relizane
515,DABB,Rabah Bitat Airport,Annaba,DZ,Rabah Bitat Airport - Annaba
516,DABC,Mohamed Boudiaf International Airport,Constantine,DZ,Mohamed Boudiaf International Airport - Constantine
517,DABS,Cheikh Larbi Tébessi Airport,Tébessi,DZ,Cheikh Larbi Tébessi Airport - Tébessi
518,DABT,Batna Mostefa Ben Boulaid Airport,Batna,DZ,Batna Mostefa Ben Boulaid Airport - Batna
519,DAFH,Hassi R'Mel Airport,Hassi R'Mel,DZ,Hassi R'Mel Airport - Hassi R'Mel
520,DAOB,Abdelhafid Boussouf Bou Chekif Airport,Tiaret,DZ,Abdelhafid Boussouf Bou Chekif Airport - Tiaret
521,DAOF,Tindouf Airport,Tindouf,DZ,Tindouf Airport - Tindouf
522,DAOI,Chlef Aboubakr Belkaid International Airport,Chlef,DZ,Chlef Aboubakr Belkaid International Airport - Chlef
523,DAOL,Oran Tafraoui Airport,Tafraoui,DZ,Oran Tafraoui Airport - Tafraoui
524,DAON,Zenata – Messali El Hadj Airport,Tlemcen,DZ,Zenata – Messali El Hadj Airport - Tlemcen
525,DAOO,Oran International Airport Ahmed Ben Bella,Oran,DZ,Oran International Airport Ahmed Ben Bella - Oran
526,DAOR,Béchar Boudghene Ben Ali Lotfi Airport,Béchar,DZ,Béchar Boudghene Ben Ali Lotfi Airport - Béchar
527,DAOV,Ghriss Airport,Ghriss,DZ,Ghriss Airport - Ghriss
528,DAUA,Touat Cheikh Sidi Mohamed Belkebir Airport,Adrar,DZ,Touat Cheikh Sidi Mohamed Belkebir Airport - Adrar
529,DAUB,Biskra - Mohamed Khider Airport,Biskra,DZ,Biskra - Mohamed Khider Airport - Biskra
530,DAUE,El Golea Airport,El Menia,DZ,El Golea Airport - El Menia
531,DAUG,Noumérat - Moufdi Zakaria Airport,Ghardaïa,DZ,Noumérat - Moufdi Zakaria Airport - Ghardaïa
532,DAUH,Hassi Messaoud-Oued Irara Krim Belkacem Airport,Hassi Messaoud,DZ,Hassi Messaoud-Oued Irara Krim Belkacem Airport - Hassi Messaoud
533,DAUI,In Salah Airport,In Salah,DZ,In Salah Airport - In Salah
534,DAUK,Touggourt Sidi Madhi Airport,Touggourt,DZ,Touggourt Sidi Madhi Airport - Touggourt
535,DAUL,Laghouat - Molay Ahmed Medeghri Airport,Laghouat,DZ,Laghouat - Molay Ahmed Medeghri Airport - Laghouat
536,DAUO,Guemar Airport,Guemar,DZ,Guemar Airport - Guemar
537,DAUT,Timimoun Airport,Timimoun,DZ,Timimoun Airport - Timimoun
538,DAUU,Ain Beida Airport,Ouargla,DZ,Ain Beida Airport - Ouargla
539,DAUZ,Zarzaitine - In Aménas Airport,In Aménas,DZ,Zarzaitine - In Aménas Airport - In Aménas
540,DBBB,Cadjehoun Airport,Cotonou,BJ,Cadjehoun Airport - Cotonou
541,DBC,Baicheng Chang'an Airport,Baicheng,CN,Baicheng Chang'an Airport - Baicheng
542,DFFD,Ouagadougou Airport,Ouagadougou,BF,Ouagadougou Airport - Ouagadougou
543,DFOO,Bobo Dioulasso Airport,Bobo Dioulasso,BF,Bobo Dioulasso Airport - Bobo Dioulasso
544,DGAA,Kotoka International Airport,Accra,GH,Kotoka International Airport - Accra
545,DGLE,Tamale Airport,Tamale,GH,Tamale Airport - Tamale
546,DGSI,Kumasi Airport,Kumasi,GH,Kumasi Airport - Kumasi
547,DGSN,Sunyani Airport,Sunyani,GH,Sunyani Airport - Sunyani
548,DGTK,Takoradi Airport,Sekondi-Takoradi,GH,Takoradi Airport - Sekondi-Takoradi
549,DIAP,Félix-Houphouët-Boigny International Airport,Abidjan,CI,Félix-Houphouët-Boigny International Airport - Abidjan
550,DIBK,Bouaké Airport,Bouaké,CI,Bouaké Airport - Bouaké
551,DIDL,Daloa Airport,,CI,Daloa Airport - nan
552,DIKO,Korhogo Airport,Korhogo,CI,Korhogo Airport - Korhogo
553,DIMN,Man Airport,,CI,Man Airport - nan
554,DISP,San Pedro Airport,,CI,San Pedro Airport - nan
555,DIYO,Yamoussoukro Airport,Yamoussoukro,CI,Yamoussoukro Airport - Yamoussoukro
556,DNAA,Nnamdi Azikiwe International Airport,Abuja,NG,Nnamdi Azikiwe International Airport - Abuja
